,name,date
51,Minecraft,https://static.metacritic.com/images/products/games/2/0ec49754f864a372073dcc684094385d-98.jpg
52,Persona 5,https://static.metacritic.com/images/products/games/5/47dc3e3e49c9cbcf53beefcedcdd6cea-98.jpg
53,Homeworld,https://static.metacritic.com/images/products/games/4/a005b637a637d3628b66c5b23e7c2573-98.jpg
54,World Soccer Winning Eleven 6 International,https://static.metacritic.com/images/products/games/4/c70f774f93314b065746edcbadd3af17-98.jpg
55,Gears of War 2,https://static.metacritic.com/images/products/games/1/73d5b14301766692addd210f3f97baa0-98.jpg
56,Skies of Arcadia,https://static.metacritic.com/images/products/games/2/3b571a477cecac037901d45ddc84f8cf-98.jpg
57,Mario Kart Super Circuit,https://static.metacritic.com/images/products/games/8/798ddc7ac13f8d73fa4434f3094b13d4-98.jpg
58,Test Drive Le Mans,https://static.metacritic.com/images/products/games/6/61a1c2a64a9080a1d9bd967a5026a1f8-98.jpg
59,The Legend of Zelda: Skyward Sword,https://static.metacritic.com/images/products/games/3/b68f02ecc7a8fbf5789d8ae6efdcd0e6-98.jpg
60,NBA 2K1,https://static.metacritic.com/images/products/games/7/ce62bcdcf49af8afe4afa342206d9f94-98.jpg
61,Virtua Fighter 4: Evolution,https://static.metacritic.com/images/products/games/8/f16f9860b86318b58f9ba4a3b17973cf-98.jpg
62,Uncharted 4: A Thief's End,https://static.metacritic.com/images/products/games/2/bccdebd6ae21b1a35353b6d9f27af1a5-98.jpg
63,Wipeout XL,https://static.metacritic.com/images/products/games/5/6353c99bbe2280a9e8181e9a28ac32b6-98.jpg
64,Paper Mario,https://static.metacritic.com/images/products/games/4/13d381476c4ff403d8be5b3b6e32d184-98.jpg
65,Super Smash Bros. Ultimate,https://static.metacritic.com/images/products/games/6/cb1c4fbf6a314df9c7354aea84c4198a-98.jpg
66,Flipnote Studio,https://static.metacritic.com/images/products/games/2/9198d8a64fb337b71ee137d799de93c3-98.jpg
67,World of Warcraft,https://static.metacritic.com/images/products/games/3/c3383580eb989c3596326f861f063786-98.jpg
68,NHL 2002,https://static.metacritic.com/images/products/games/7/f68a1e3fddb8d1918d9e066c20d798b2-98.jpg
69,God of War III,https://static.metacritic.com/images/products/games/4/d497302faebe5d7c1600cc7654e4b9a1-98.jpg
70,Uncharted 3: Drake's Deception,https://static.metacritic.com/images/products/games/5/bf1916f0ff130db8fa3e82fe5d1ac55b-98.jpg
71,Eternal Darkness: Sanity's Requiem,https://static.metacritic.com/images/products/games/0/9b2f8b7f00cb38e56c579eb2934b2893-98.jpg
72,Bloodborne,https://static.metacritic.com/images/products/games/5/d31120073f909d2c034c09f91e7a5073-98.jpg
73,Sid Meier's Gettysburg!,https://static.metacritic.com/images/products/games/2/36c9df22d3203a49b8d1f56422d701e3-98.jpg
74,Forza Motorsport,https://static.metacritic.com/images/products/games/4/2b554f02e598064d9fc95b6954ffc869-98.jpg
75,Warcraft III: Reign of Chaos,https://static.metacritic.com/images/products/games/1/381270905624fa84865e1fe874eb8eb5-98.jpg
76,Advance Wars,https://static.metacritic.com/images/products/games/6/b21a9afc3d11ee04313d49d9890363c5-98.jpg
77,Vagrant Story,https://static.metacritic.com/images/products/games/2/4e0dd908bee16a52afabc754bb050782-98.jpg
78,System Shock 2,https://static.metacritic.com/images/products/games/3/41829351f4d06d0cc356218ddbd8f99d-98.jpg
